CarName,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
Mazda RX4,21.00,6,160.00,110,3.90,2.62,16.46,0,1,4,4
Mazda RX4 Wag,21.00,6,160.00,110,3.90,2.88,17.02,0,1,4,4
Datsun 710,22.80,4,108.00,93,3.85,2.32,18.61,1,1,4,1
Hornet 4 Drive,21.40,6,258.00,110,3.08,3.22,19.44,1,0,3,1
Hornet Sportabout,18.70,8,360.00,175,3.15,3.44,17.02,0,0,3,2
Valiant,18.10,6,225.00,105,2.76,3.46,20.22,1,0,3,1
Duster 360,14.30,8,360.00,245,3.21,3.57,15.84,0,0,3,4
Merc 240D,24.40,4,146.70,62,3.69,3.19,20.00,1,0,4,2
Merc 230,22.80,4,140.80,95,3.92,3.15,22.90,1,0,4,2
Merc 280,19.20,6,167.60,123,3.92,3.44,18.30,1,0,4,4
Merc 280C,17.80,6,167.60,123,3.92,3.44,18.90,1,0,4,4
Merc 450SE,16.40,8,275.80,180,3.07,4.07,17.40,0,0,3,3
Merc 450SL,17.30,8,275.80,180,3.07,3.73,17.60,0,0,3,3
Merc 450SLC,15.20,8,275.80,180,3.07,3.78,18.00,0,0,3,3
Cadillac Fleetwood,10.40,8,472.00,205,2.93,5.25,17.98,0,0,3,4
Lincoln Continental,10.40,8,460.00,215,3.00,5.42,17.82,0,0,3,4
Chrysler Imperial,14.70,8,440.00,230,3.23,5.34,17.42,0,0,3,4
Fiat 128,32.40,4,78.70,66,4.08,2.20,19.47,1,1,4,1
Honda Civic,30.40,4,75.70,52,4.93,1.62,18.52,1,1,4,2
Toyota Corolla,33.90,4,71.10,65,4.22,1.84,19.90,1,1,4,1
Toyota Corona,21.50,4,120.10,97,3.70,2.46,20.01,1,0,3,1
Dodge Challenger,15.50,8,318.00,150,2.76,3.52,16.87,0,0,3,2
AMC Javelin,15.20,8,304.00,150,3.15,3.44,17.30,0,0,3,2
Camaro Z28,13.30,8,350.00,245,3.73,3.84,15.41,0,0,3,4
Pontiac Firebird,19.20,8,400.00,175,3.08,3.84,17.05,0,0,3,2
Fiat X1-9,27.30,4,79.00,66,4.08,1.94,18.90,1,1,4,1
Porsche 914-2,26.00,4,120.30,91,4.43,2.14,16.70,0,1,5,2
Lotus Europa,30.40,4,95.10,113,3.77,1.51,16.90,1,1,5,2
Ford Pantera L,15.80,8,351.00,264,4.22,3.17,14.50,0,1,5,4
Ferrari Dino,19.70,6,145.00,175,3.62,2.77,15.50,0,1,5,6
Maserati Bora,15.00,8,301.00,335,3.54,3.57,14.60,0,1,5,8
Volvo 142E,21.40,4,121.00,109,4.11,2.78,18.60,1,1,4,2
Tesla,21.50,4,120.10,97,3.70,2.46,20.01,1,0,3,1
Hyundai Next,14.30,8,360.00,245,3.21,3.57,15.84,0,0,3,4
